(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: add_water
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: make_coffee
(aabounak)Running: add_water
(aabounak)Running: Start_machine [ exec-time = 9.5367431640625e-07 s ]
(aabounak)Running: Boil_water [ exec-time = 5.9604644775390625e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.042931318283081 s ]
(aabounak)Running: Start_machine [ exec-time = 1.6689300537109375e-06 s ]
(aabounak)Running: Boil_water [ exec-time = 5.245208740234375e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.0641307830810547 s ]
(aabounak)Running: Start_machine [ exec-time = 9.5367431640625e-07 s ]
(aabounak)Running: Boil_water [ exec-time = 4.76837158203125e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.0667331218719482 s ]
(aabounak)Running: Start_machine [ exec-time = 2.1457672119140625e-06 s ]
(aabounak)Running: Boil_water [ exec-time = 5.0067901611328125e-06 s ]
(aabounak)Running: Make_coffee [ exec-time = 2.0509438514709473 s ]
(aabounak)Running: Start_machine [ exec-time = 1.71661376953125e-05 s ]
(aabounak)Running: Make_coffee [ exec-time = 0.0002491474151611328 s ]
(aabounak)Running: Start_machine [ exec-time = 1.0013580322265625e-05 s ]
(aabounak)Running: Make_coffee [ exec-time = 0.0001690387725830078 s ]
(aabounak)Running: Add_water [ exec-time = 1.000213861465454 s ]
(aabounak)Running: start_machine [ exec-time = 9.5367431640625e-07 s ]
(aabounak)Running: boil_water [ exec-time = 3.0994415283203125e-06 s ]
(aabounak)Running: make_coffee [ exec-time = 2.045114755630493 s ]
(aabounak)Running: start_machine [ exec-time = 2.1457672119140625e-06 s ]
(aabounak)Running: Start Machine [ exec-time = 9.5367431640625e-07 s ]
(aabounak)Running: Boil Water [ exec-time = 2.86102294921875e-06 s ]
(aabounak)Running: Make Coffee [ exec-time = 2.057893991470337 s ]
(aabounak)Running: Start Machine [ exec-time = 2.1457672119140625e-06 s ]
(aabounak)Running: Boil Water [ exec-time = 2.1457672119140625e-06 s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0386369228363037 s ]
(aabounak)Running: Start Machine [ exec-time = 9.5367431640625e-07 s ]
(aabounak)Running: Boil Water [ exec-time = 7.152557373046875e-07 s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0470361709594727 s ]
(aabounak)Running: Start Machine [ exec-time = 1.2874603271484375e-05 s ]
(aabounak)Running: Boil Water [ exec-time = 5.0067901611328125e-06 s ]
(aabounak)Running: Make Coffee [ exec-time = 2.0552210807800293 s ]
(aabounak)Running: Start Machine [ exec-time = 1.6927719116210938e-05 s ]
(aabounak)Running: Make Coffee [ exec-time = 0.00025177001953125 s ]
(aabounak)Running: Start Machine [ exec-time = 2.4080276489257812e-05 s ]
(aabounak)Running: Make Coffee [ exec-time = 0.00017905235290527344 s ]
(aabounak)Running: Add Water [ exec-time = 4.000326156616211 s ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0523 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0546 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0539 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0478 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0002 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 0.0001 ms ]
(aabounak)Running: Add Water [ exec-time = 2.0032 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0477 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0491 ms ]
(aabounak)Running: Start Machine [ exec-time = 0.0 ms ]
(aabounak)Running: Boil Water [ exec-time = 0.0 ms ]
(aabounak)Running: Make Coffee [ exec-time = 2.0534 ms ]
